stage,key,legacy_rows,wizard_rows,legacy_cols,wizard_cols,count_equal,blob_equal,legacy_blob_sha256,wizard_blob_sha256,detail
keypoints,frame_0046.png,423,423,6,6,True,True,98d3d2bc69a3ec0662dbe9b12ced381ee2627be2d205f233ddf1d75c47caa1bb,98d3d2bc69a3ec0662dbe9b12ced381ee2627be2d205f233ddf1d75c47caa1bb,per-image SQLite feature record compared by semantic image name
descriptors,frame_0046.png,423,423,128,128,True,True,f049bcc9aeb230ddd95391fe770a4d9271583cc088d2fddfa0c3f37cdf773bfd,f049bcc9aeb230ddd95391fe770a4d9271583cc088d2fddfa0c3f37cdf773bfd,per-image SQLite feature record compared by semantic image name
keypoints,frame_0047.png,295,295,6,6,True,True,c1b9f4774c84ec84bcfce636242c549eef998534889678a46f67422a43e02682,c1b9f4774c84ec84bcfce636242c549eef998534889678a46f67422a43e02682,per-image SQLite feature record compared by semantic image name
descriptors,frame_0047.png,295,295,128,128,True,True,27176607933bbe44c20b1d7be688c2ce0cb4a02f914df781519e4d14ccc9a987,27176607933bbe44c20b1d7be688c2ce0cb4a02f914df781519e4d14ccc9a987,per-image SQLite feature record compared by semantic image name
keypoints,frame_0048.png,273,273,6,6,True,True,74c1fee06c00a1ae409305ccda8bb207e417fab9492bfed5c6e1164f54a88411,74c1fee06c00a1ae409305ccda8bb207e417fab9492bfed5c6e1164f54a88411,per-image SQLite feature record compared by semantic image name
descriptors,frame_0048.png,273,273,128,128,True,True,8e9a4239b42b63c6c77c911e1138f566d9aabb61eae728786976f94dc27512de,8e9a4239b42b63c6c77c911e1138f566d9aabb61eae728786976f94dc27512de,per-image SQLite feature record compared by semantic image name
keypoints,frame_0049.png,183,183,6,6,True,True,215063dcb78d59235c2a38c27d6127f62e392c0ddc9cf2349fb2b819df969124,215063dcb78d59235c2a38c27d6127f62e392c0ddc9cf2349fb2b819df969124,per-image SQLite feature record compared by semantic image name
descriptors,frame_0049.png,183,183,128,128,True,True,b8f38bb570365a03f992b04045945671779d1aa6494ef52982e0ea723b065d7b,b8f38bb570365a03f992b04045945671779d1aa6494ef52982e0ea723b065d7b,per-image SQLite feature record compared by semantic image name
keypoints,frame_0050.png,232,232,6,6,True,True,6f466cccd7c5af05a75d765cc4a7f796d01a0386d35cedf0be5509d7e80f143a,6f466cccd7c5af05a75d765cc4a7f796d01a0386d35cedf0be5509d7e80f143a,per-image SQLite feature record compared by semantic image name
descriptors,frame_0050.png,232,232,128,128,True,True,36760de5cdbc6fc1df016e6f1ff984e8a50796c96028cbc71087ecb8a9b673fc,36760de5cdbc6fc1df016e6f1ff984e8a50796c96028cbc71087ecb8a9b673fc,per-image SQLite feature record compared by semantic image name
