frame,num_detected,detected_ids,image,debug_image,route_x,route_y,route_z,route_roll,route_pitch,route_yaw
96,2,10;12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0096.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0096_debug.png,3.5238095238095237,0.0,2.2,0.0,0.5428571428571428,-7.9158448209523815
97,2,10;12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0097.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0097_debug.png,3.642857142857143,0.0,2.2,0.0,0.5571428571428572,-8.011883615714286
98,2,10;12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0098.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0098_debug.png,3.761904761904762,0.0,2.2,0.0,0.5714285714285714,-8.107922410476192
99,2,10;12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0099.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0099_debug.png,3.880952380952381,0.0,2.2,0.0,0.5857142857142856,-8.203961205238096
100,2,10;12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0100.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0100_debug.png,4.0,0.0,2.2,0.0,0.6,-8.3
101,2,10;12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0101.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0101_debug.png,4.066666666666666,0.0,2.2,0.0,0.5933333333333333,-8.4
102,2,10;12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0102.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0102_debug.png,4.133333333333334,0.0,2.2,0.0,0.5866666666666667,-8.5
103,2,10;12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0103.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0103_debug.png,4.2,0.0,2.2,0.0,0.58,-8.600000000000001
104,2,10;12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0104.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0104_debug.png,4.266666666666667,0.0,2.2,0.0,0.5733333333333334,-8.700000000000001
105,2,10;12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0105.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0105_debug.png,4.333333333333333,0.0,2.2,0.0,0.5666666666666667,-8.8
